wpm,accuracy,mistakes,backspaces,consistency,typing_time,level
26,72,6,2,81,100.931772,Advanced
46,78,15,7,67,81.37635839,Advanced
80,79,1,8,85,53.60042442,Beginner
51,100,11,17,100,75.27960541,Intermediate
66,70,5,2,79,74.64430584,Beginner
59,92,7,7,90,59.44663064,Intermediate
65,97,11,9,84,86.3245077,Intermediate
60,94,4,6,80,96.87316385,Intermediate
78,62,5,5,74,105.6834812,Professional
28,76,4,8,72,86.31853492,Advanced
66,78,12,11,92,95.02188247,Beginner
71,100,13,11,81,112.4140848,Intermediate
46,79,16,10,98,72.61988661,Beginner
41,75,8,11,63,87.62312843,Advanced
25,71,6,1,86,81.70887721,Advanced
55,96,1,3,80,63.72609139,Intermediate
52,64,9,7,74,72.67953976,Professional
56,86,4,5,90,67.28023359,Intermediate
86,65,0,1,70,89.08016671,Beginner
41,66,20,4,84,145.9023056,Beginner
64,55,11,2,77,126.630181,Beginner
65,72,6,8,68,73.91913221,Professional
57,93,4,2,75,81.91123369,Intermediate
67,60,12,7,84,116.396652,Beginner
60,100,5,10,78,144.0206086,Intermediate
48,99,1,10,89,100.931501,Intermediate
10,52,6,2,100,69.27138672,Advanced
60,69,12,5,82,113.2641567,Beginner
68,98,7,5,75,98.75267447,Intermediate
65,100,9,8,81,92.09371262,Intermediate
86,50,1,8,71,124.7385143,Professional
62,69,13,3,77,68.39645078,Professional
66,59,10,0,73,129.6281904,Beginner
67,72,10,6,81,107.9458647,Beginner
49,87,9,6,73,57.07515531,Professional
39,80,14,5,74,77.04538959,Advanced
37,71,7,8,71,70.38732949,Advanced
52,69,10,1,81,87.92856043,Beginner
76,66,5,3,74,107.2616286,Beginner
23,64,3,1,91,62.97282952,Advanced
80,73,1,4,78,75.55145486,Beginner
66,100,9,9,83,84.79582839,Intermediate
56,97,9,2,77,76.59693357,Professional
85,71,0,7,68,121.2039836,Professional
61,68,15,6,83,128.7317983,Beginner
26,59,10,7,100,63.88660271,Advanced
60,65,8,6,74,75.36721461,Professional
74,100,5,2,61,147.2592247,Intermediate
67,78,10,10,90,82.83938623,Beginner
10,55,4,2,100,48.41032297,Advanced
80,100,15,9,73,127.6496358,Intermediate
63,80,14,4,70,45.01100476,Professional
74,67,8,8,84,102.4164044,Beginner
64,65,3,10,67,79.44822632,Professional
62,61,7,1,74,98.17004362,Beginner
55,85,13,2,78,64.34955789,Professional
58,89,7,11,99,64.07366576,Beginner
61,75,8,7,89,62.8237879,Beginner
71,77,1,8,66,89.30506898,Professional
52,78,10,4,87,70.7313716,Beginner
55,72,8,8,68,60.14684057,Professional
43,79,15,6,71,78.11858118,Advanced
18,67,1,5,83,79.89222364,Advanced
21,63,1,2,91,59.04542623,Advanced
63,85,8,5,71,72.83726814,Professional
66,52,0,13,64,84.453692,Professional
77,100,10,4,71,77.48897866,Intermediate
27,77,4,6,72,116.5378633,Advanced
65,74,8,5,73,76.12136359,Professional
75,100,10,5,72,91.72253127,Intermediate
64,91,3,0,74,69.84171014,Intermediate
45,96,0,6,88,78.31907793,Intermediate
73,60,5,0,73,106.7902731,Beginner
70,68,6,8,68,74.3151913,Professional
21,64,0,3,84,86.89915481,Advanced
36,70,20,8,92,147.6150573,Beginner
70,75,11,3,73,65.92881004,Professional
70,70,13,10,85,122.5696558,Beginner
76,79,4,4,73,106.0838914,Professional
53,95,10,15,97,104.87815,Intermediate
45,91,8,14,100,58.73621182,Intermediate
27,63,6,3,86,58.61392367,Advanced
65,83,2,3,83,54.14097565,Beginner
69,100,3,0,65,91.6771659,Intermediate
62,76,5,7,72,83.98893673,Professional
68,100,5,7,71,147.7838519,Intermediate
83,71,4,3,79,51.84439366,Beginner
52,70,6,8,74,77.13453618,Professional
64,54,0,13,64,85.54562826,Professional
88,85,1,15,95,47.85010009,Beginner
24,58,3,0,97,52.23108334,Advanced
68,73,9,4,74,78.80271018,Professional
53,93,4,6,85,70.89710625,Intermediate
65,73,8,7,68,67.20159789,Professional
68,94,4,0,66,111.6277078,Intermediate
49,76,15,9,67,59.78726798,Advanced
72,79,2,8,89,48.10115209,Beginner
58,68,12,5,86,98.64956053,Beginner
61,66,11,5,75,68.22920672,Professional
58,76,14,10,94,86.93323611,Intermediate
64,82,9,8,88,77.68280246,Beginner
66,98,12,10,85,86.01695718,Intermediate
10,66,9,7,85,68.03661983,Advanced
53,69,10,7,72,50.76123028,Professional
64,100,10,12,88,86.17816401,Intermediate
61,82,8,6,85,69.7576423,Beginner
68,74,7,5,74,86.72825162,Professional
37,99,3,14,100,100.7167187,Intermediate
82,72,3,6,87,69.26152352,Beginner
79,67,2,6,73,114.636513,Professional
57,96,12,13,97,55.10824052,Intermediate
33,67,9,1,87,64.78270462,Advanced
58,86,8,6,89,52.28792072,Intermediate
52,95,4,9,89,88.13800486,Intermediate
71,68,9,9,88,90.39910605,Beginner
83,79,7,0,78,118.8917439,Professional
75,99,14,7,78,68.61317861,Intermediate
46,72,13,5,77,47.49109152,Professional
69,68,9,4,76,85.28590416,Professional
39,52,5,14,67,46.75104497,Professional
56,94,6,10,90,84.62733491,Intermediate
52,77,15,1,83,71.19226129,Professional
54,68,12,0,78,103.9492993,Beginner
72,65,2,6,76,118.7221151,Professional
67,82,5,10,95,48.86217312,Beginner
51,92,0,3,83,69.0823237,Intermediate
24,89,2,11,63,116.2823636,Advanced
87,95,7,4,55,70.45671268,Intermediate
71,91,7,0,72,47.84736279,Intermediate
73,99,4,0,62,121.2291404,Intermediate
16,59,1,2,100,51.35532947,Advanced
76,62,6,4,77,111.6218278,Beginner
56,61,8,6,77,78.93637624,Professional
82,98,15,5,71,96.15616779,Intermediate
59,77,14,12,96,88.14902681,Beginner
57,91,8,11,91,87.83212358,Intermediate
56,100,12,2,74,57.48866094,Professional
71,70,3,3,81,73.14504224,Beginner
54,76,9,5,87,71.63933631,Beginner
78,67,8,3,77,103.2425123,Intermediate
36,74,12,2,80,83.79270253,Advanced
51,78,15,9,93,89.20565664,Beginner
66,96,9,7,78,112.3681412,Intermediate
61,78,9,8,90,70.0551007,Beginner
73,78,6,8,86,74.87937327,Beginner
46,95,5,11,96,79.50002699,Intermediate
31,67,10,1,89,91.00404137,Advanced
68,73,0,1,80,45.70716927,Beginner
16,59,4,2,85,113.6146075,Advanced
66,100,10,9,81,100.8191179,Intermediate
43,67,13,3,81,50.00023298,Advanced
54,69,12,3,83,99.27534067,Beginner
66,71,7,6,87,73.23111902,Beginner
58,98,10,10,92,61.51135843,Intermediate
62,97,5,3,80,47.30015115,Intermediate
68,68,13,11,89,114.7513168,Beginner
52,80,20,5,68,84.50537097,Advanced
66,67,4,6,75,96.22537826,Professional
62,76,6,6,89,55.1035801,Beginner
36,68,10,1,82,83.82806091,Advanced
72,75,7,2,77,99.92335483,Professional
58,99,10,12,93,66.48948062,Intermediate
64,91,4,2,79,45.86545658,Intermediate
56,76,9,5,75,69.66759238,Professional
45,77,18,2,78,74.17451569,Advanced
66,97,12,11,87,92.08168611,Intermediate
56,81,16,2,76,50.93002359,Professional
69,88,11,2,75,80.44550915,Professional
65,73,12,9,89,100.1896437,Beginner
21,77,0,9,72,82.2463507,Advanced
60,77,16,3,75,48.39643361,Professional
72,60,8,4,77,117.8784998,Beginner
54,75,8,7,72,56.86589033,Professional
29,61,7,0,92,64.36545795,Advanced
77,70,7,6,79,110.8232559,Beginner
27,77,7,3,77,104.0431438,Advanced
66,65,3,4,67,92.8245935,Beginner
66,85,4,4,74,101.3691736,Professional
52,97,5,10,89,98.12264546,Intermediate
57,82,12,6,69,46.80372723,Professional
51,90,6,10,95,60.40807925,Intermediate
64,72,5,4,81,74.26593435,Beginner
79,96,11,0,70,58.20428724,Intermediate
55,85,20,9,60,84.50844528,Advanced
56,75,12,7,89,86.26843088,Beginner
30,66,9,0,90,78.8089909,Advanced
71,63,2,8,71,100.9435532,Professional
48,76,14,5,74,47.91787172,Professional
68,100,15,10,87,53.0216757,Intermediate
78,58,2,10,68,114.0071257,Professional
45,81,15,6,67,100.8846722,Advanced
59,91,4,5,80,88.75414513,Intermediate
41,62,16,5,96,66.89154879,Advanced
51,89,16,4,71,61.07827035,Professional
35,67,5,7,74,71.72322765,Advanced
72,95,6,0,69,80.94307795,Intermediate
70,69,9,9,89,85.17484565,Beginner
62,81,8,8,89,67.23948104,Beginner
89,63,2,9,84,81.49723509,Beginner
31,84,8,7,68,116.4759905,Advanced
70,75,11,4,74,80.1990558,Professional
70,99,8,4,74,87.4614221,Intermediate
74,69,2,0,72,81.96760586,Beginner
59,70,10,9,95,63.26006997,Beginner
66,83,15,1,76,59.37023285,Professional
75,94,8,1,70,71.17951066,Intermediate
65,67,7,3,81,86.87578284,Beginner
55,95,9,13,92,108.2204013,Advanced
84,50,5,8,69,100.9618052,Professional
64,60,8,7,73,79.07046878,Professional
34,80,6,11,62,107.8963686,Advanced
52,72,13,5,87,86.30938638,Beginner
67,74,2,2,81,51.09561608,Beginner
77,77,0,9,66,99.02937245,Professional
66,55,5,8,72,82.29191698,Professional
54,98,12,15,98,65.69849785,Intermediate
51,92,3,7,89,70.89403601,Intermediate
42,82,9,13,56,98.8404209,Advanced
66,80,6,5,84,64.63836986,Beginner
82,65,2,6,72,117.2232586,Professional
64,81,10,8,87,85.96870868,Beginner
71,63,3,7,72,95.41267512,Professional
43,76,10,11,62,86.54095494,Advanced
33,77,9,5,75,79.95698637,Advanced
57,64,11,5,87,85.98598815,Beginner
57,78,3,0,80,46.20104007,Beginner
63,78,9,7,88,74.16825444,Beginner
34,74,6,9,70,74.43966082,Advanced
71,100,9,3,72,73.983544,Intermediate
53,79,16,1,82,64.95444581,Professional
69,66,5,2,78,87.3037618,Beginner
57,74,7,6,75,75.92030552,Professional
96,67,1,9,82,68.48685901,Beginner
65,88,3,9,96,75.22670147,Beginner
31,67,7,2,83,86.12154897,Advanced
37,77,10,6,70,104.4771103,Advanced
55,57,5,10,71,77.59888037,Professional
53,93,4,6,84,90.03171079,Intermediate
69,76,5,7,85,69.14365848,Beginner
70,63,7,4,81,94.62506055,Beginner
41,76,5,15,57,65.15732404,Advanced
82,74,0,8,85,54.75614089,Beginner
34,80,11,5,74,87.53991818,Advanced
71,99,14,8,84,52.56701258,Intermediate
78,58,1,8,72,116.0703786,Professional
69,91,7,3,76,70.70671969,Intermediate
74,98,7,2,67,94.78973742,Intermediate
83,65,3,5,73,114.9185524,Professional
45,85,9,16,55,112.8382005,Advanced
42,74,15,2,77,83.6448073,Advanced
62,90,12,10,94,50.03562525,Intermediate
71,69,0,1,81,46.78359862,Beginner
66,69,11,7,84,105.3930757,Beginner
59,75,11,3,78,76.11941577,Professional
20,60,2,1,95,90.27115129,Professional
28,72,5,6,77,83.55228856,Advanced
57,98,0,4,76,109.2106747,Intermediate
77,97,8,1,69,72.73387137,Intermediate
60,77,4,2,83,51.09809186,Beginner
70,100,4,1,62,124.6316478,Advanced
51,81,10,5,90,54.36473341,Beginner
70,100,10,7,75,114.2071127,Intermediate
55,67,18,7,86,135.6226739,Beginner
54,66,7,9,71,62.80276132,Professional
49,95,3,10,89,114.8187266,Intermediate
68,81,8,6,67,62.04741207,Professional
80,71,1,4,78,72.08491979,Beginner
71,82,12,3,72,71.02077849,Professional
71,77,6,10,91,61.1151373,Beginner
64,96,4,5,76,112.7884183,Intermediate
71,98,13,9,83,66.29127742,Intermediate
55,87,8,3,78,84.29112908,Professional
59,99,7,6,85,55.48210958,Intermediate
52,97,8,11,92,70.25791653,Intermediate
51,74,7,8,71,61.49545453,Professional
23,63,6,2,96,65.68811884,Advanced
48,70,14,3,85,96.67509484,Beginner
21,57,0,2,90,74.4262317,Advanced
80,68,4,6,80,90.81275069,Beginner
54,57,3,9,76,95.15275928,Professional
74,65,0,8,71,110.8077007,Professional
23,73,3,5,82,64.88231192,Advanced
69,88,5,6,83,60.18664185,Beginner
61,80,11,2,80,78.34936092,Professional
19,62,2,1,96,71.55437804,Advanced
68,72,6,7,88,65.44773204,Beginner
39,90,2,9,100,50.03928323,Intermediate
23,65,0,5,82,66.5722467,Advanced
61,82,8,7,68,58.67340788,Professional
46,92,4,11,93,105.8255574,Intermediate
56,98,9,10,94,50.35597371,Intermediate
25,65,4,2,88,63.20505796,Advanced
55,59,14,1,77,132.6182352,Beginner
71,78,8,3,75,92.69098566,Professional
74,69,1,7,71,108.2816814,Professional
61,70,13,3,77,71.49573502,Professional
17,59,0,1,95,59.18085135,Advanced
73,56,0,9,72,112.3792366,Professional
63,70,12,10,93,86.49375251,Beginner
32,76,6,9,70,79.51776001,Advanced
72,71,9,9,86,99.16746501,Beginner
63,64,12,6,85,105.9830058,Beginner
57,83,20,2,71,91.49014487,Advanced
72,50,4,10,71,92.86379201,Professional
64,78,8,3,77,86.39665898,Professional
54,64,4,11,67,65.82089216,Professional
27,63,12,8,100,84.17952218,Advanced
14,75,3,8,74,104.7765649,Advanced
66,70,1,2,71,72.69851002,Beginner
42,79,8,13,61,71.13889043,Advanced
50,76,20,2,76,77.5300882,Advanced
79,92,11,1,70,54.6039004,Intermediate
64,100,5,5,75,111.775679,Intermediate
30,77,5,8,68,115.0190598,Advanced
68,72,5,6,73,92.42775433,Professional
43,74,10,5,78,57.15224327,Advanced
55,87,14,2,78,57.92160344,Professional
71,94,10,6,80,68.07710337,Intermediate
37,72,11,4,80,60.08595592,Advanced
74,100,7,2,65,105.3798519,Intermediate
84,99,5,4,55,125.5863774,Intermediate
49,75,8,8,71,61.46631911,Professional
64,96,4,1,76,50.91597415,Intermediate
60,69,7,3,84,72.15816199,Beginner
77,100,16,8,79,75.38254638,Intermediate
60,99,9,11,86,112.2681116,Intermediate
70,68,2,8,69,98.48704627,Professional
58,74,8,6,75,79.52431105,Professional
79,52,4,8,71,101.8284521,Professional
58,99,4,8,82,115.9829352,Intermediate
61,90,4,3,78,75.0412848,Intermediate
56,65,15,2,77,132.146238,Beginner
37,70,6,5,76,83.89909684,Advanced
53,78,13,8,92,79.10696838,Beginner
67,66,17,8,80,156.4878399,Beginner
33,82,11,5,73,92.71088654,Advanced
61,92,12,0,78,71.78427014,Professional
61,65,8,5,79,90.89543287,Professional
60,87,15,1,77,54.75305911,Professional
27,65,4,3,84,68.18050072,Advanced
50,75,14,6,73,50.63642519,Professional
80,95,6,0,59,121.3528328,Intermediate
41,76,12,6,69,90.20885885,Advanced
54,63,10,3,83,85.18712424,Professional
29,74,8,3,79,104.7499803,Advanced
71,73,5,7,69,78.28766182,Professional
56,94,8,3,77,80.97711369,Professional
78,96,7,2,65,117.6061377,Intermediate
30,73,6,5,77,88.5811794,Professional
72,68,5,4,80,81.78922453,Beginner
64,90,6,5,72,88.59942971,Professional
62,100,11,11,92,50.99476733,Intermediate
24,61,3,0,90,82.98159704,Advanced
75,54,1,12,66,104.4976546,Professional
72,70,1,8,69,97.41588902,Professional
22,65,1,2,83,110.4594038,Advanced
19,65,0,2,87,93.80249513,Advanced
66,77,9,5,80,102.6405929,Beginner
93,72,1,10,85,55.36950605,Beginner
73,58,4,8,72,100.6670034,Professional
75,50,0,10,71,106.7194358,Professional
29,76,4,8,70,101.1149616,Advanced
28,68,4,3,81,84.91850296,Advanced
58,71,8,5,85,80.63238469,Beginner
54,98,11,13,97,71.51222814,Intermediate
64,59,7,9,70,75.59046874,Professional
71,55,2,12,64,82.79402296,Professional
63,66,9,7,72,68.88976469,Professional
63,79,6,6,70,75.45056532,Professional
48,77,14,8,67,75.33953015,Advanced
52,84,10,17,55,113.6174921,Advanced
52,60,20,4,80,161.6127749,Beginner
22,66,2,2,87,70.35604721,Advanced
19,72,0,6,79,86.98267851,Advanced
76,78,4,5,71,100.665244,Professional
67,97,8,6,80,68.68220609,Intermediate
51,93,7,11,96,61.78861816,Intermediate
60,92,9,8,88,61.41331001,Intermediate
13,64,1,3,100,85.17726518,Advanced
58,100,8,11,84,130.8962112,Intermediate
45,86,13,4,74,52.56198875,Professional
67,82,13,1,77,66.23679095,Professional
56,96,7,10,89,87.61717657,Intermediate
74,64,3,8,70,97.78182282,Professional
61,75,4,3,86,46.9579166,Beginner
51,79,17,7,63,103.7207051,Advanced
73,85,11,0,80,97.18714672,Professional
66,94,12,9,88,59.86982184,Intermediate
44,77,11,8,70,49.75702879,Professional
34,72,7,6,73,97.20392388,Advanced
29,72,8,3,83,69.17182817,Advanced
62,90,6,4,84,54.65279429,Intermediate
56,72,10,5,88,77.11151713,Beginner
55,88,18,13,55,77.60670425,Advanced
31,74,8,3,81,81.97689734,Advanced
59,79,9,3,81,90.25739359,Beginner
53,96,1,4,80,83.63096774,Intermediate
60,73,11,4,76,67.74065353,Professional
66,75,9,7,85,93.03400515,Beginner
72,50,0,10,73,114.843923,Professional
44,68,20,9,90,158.5704981,Intermediate
67,67,5,7,70,79.64637514,Professional
71,59,0,10,68,102.4401994,Professional
94,98,18,3,67,60.06877754,Intermediate
24,58,10,8,100,46.41856176,Advanced
63,62,9,1,77,110.2222643,Beginner
45,91,3,5,86,86.70152955,Intermediate
22,76,2,6,74,112.2459391,Advanced
66,79,4,5,85,52.36418117,Beginner
69,100,4,1,68,84.2482764,Intermediate
80,80,2,9,92,78.79497478,Beginner
64,88,5,5,83,55.64762443,Beginner
65,76,5,7,70,85.08102356,Professional
38,79,14,3,74,104.9992716,Advanced
73,64,5,4,79,112.3441944,Professional
77,61,0,10,67,105.0863785,Professional
70,66,7,8,89,75.12137545,Beginner
56,63,10,0,77,105.2704424,Beginner
59,75,11,8,90,80.04700281,Beginner
30,76,3,10,68,81.834895,Advanced
27,71,7,1,83,98.45992634,Advanced
48,76,19,2,75,86.05959166,Advanced
74,75,8,2,78,99.24200923,Professional
27,68,1,8,77,65.97476514,Advanced
58,91,1,2,77,82.15300878,Intermediate
54,76,19,5,70,77.98556753,Advanced
79,65,2,5,81,76.52794386,Beginner
46,69,8,8,69,74.72370824,Advanced
59,83,16,0,80,58.90970498,Professional
57,89,15,0,79,64.10595685,Professional
69,64,1,7,64,73.75391757,Beginner
36,67,5,8,72,74.58366258,Advanced
70,94,14,10,87,69.92077949,Intermediate
59,62,12,4,77,71.98712107,Professional
84,68,1,6,81,74.48627017,Beginner
82,58,0,9,67,109.8766666,Professional
78,72,0,3,77,69.5551951,Beginner
34,67,10,0,83,101.1308779,Advanced
72,77,9,11,91,83.36069638,Beginner
42,79,12,7,66,101.4648818,Advanced
52,90,14,3,75,47.31387542,Professional
43,81,17,4,73,81.6721669,Advanced
68,95,5,0,71,65.42965752,Intermediate
27,58,3,0,90,76.30678201,Advanced
56,73,9,7,72,65.54081731,Professional
45,78,15,5,69,97.63332278,Advanced
57,92,2,2,80,61.13398727,Intermediate
58,93,11,10,91,60.60005323,Intermediate
78,73,1,1,73,82.33368726,Beginner
63,81,6,4,84,60.0710462,Beginner
21,75,4,4,83,72.52982942,Advanced
68,77,13,0,83,94.85448842,Professional
54,69,11,8,70,47.9629891,Professional
67,97,3,0,70,69.58587607,Intermediate
70,69,5,6,87,64.06619968,Beginner
51,74,14,5,76,52.89535029,Professional
65,50,3,11,71,92.61860983,Professional
71,100,10,7,74,124.9683858,Intermediate
60,100,10,11,90,76.71552752,Intermediate
59,96,11,15,100,47.17209916,Beginner
71,64,7,8,87,86.41889603,Beginner
44,90,7,14,100,68.93066472,Intermediate
33,61,8,0,90,63.46552161,Advanced
61,89,10,3,73,64.27607696,Professional
60,100,7,7,78,118.8799607,Intermediate
75,76,1,6,84,50.81616838,Professional
67,62,3,10,68,89.37770575,Professional
89,64,1,3,75,76.27924562,Beginner
56,90,2,2,82,45.3724616,Intermediate
68,81,4,4,75,100.6700568,Professional
50,92,2,7,89,68.32504239,Intermediate
66,66,6,7,73,92.17211418,Professional
41,76,15,3,78,70.39451143,Advanced
70,66,7,9,90,78.29876877,Beginner
36,70,8,4,74,105.4191304,Advanced
37,66,9,3,81,72.15136365,Advanced
51,90,3,11,90,125.6467485,Intermediate
63,82,8,2,79,91.16712471,Professional
60,74,10,7,88,78.68375679,Beginner
64,71,9,7,88,79.87602192,Beginner
72,87,1,10,94,70.63189458,Beginner
86,99,13,0,65,46.72181546,Intermediate
54,94,3,7,83,107.9328435,Intermediate
62,71,14,6,81,127.3685503,Beginner
67,83,5,3,74,81.62926651,Beginner
10,67,2,0,91,114.535421,Advanced
34,77,8,8,71,67.69208331,Advanced
71,85,9,13,93,71.38415331,Beginner
88,50,2,13,62,117.6926466,Professional
69,93,5,0,72,52.46577723,Intermediate
88,100,11,0,55,122.4474111,Intermediate
37,67,10,3,82,62.10347577,Advanced
59,100,11,14,92,100.1386137,Intermediate
39,81,12,6,68,105.8322133,Advanced
67,100,4,3,68,126.0955343,Intermediate
27,66,1,6,76,91.04741373,Advanced
59,97,5,9,79,148.0190149,Intermediate
63,66,14,3,77,67.41563496,Professional
68,75,8,4,75,83.72309919,Professional
62,67,12,6,86,102.1765261,Beginner
74,100,8,5,69,112.0853614,Intermediate
27,59,6,1,95,71.62051338,Advanced
61,75,9,5,83,85.4004192,Beginner
61,84,11,14,100,60.03792431,Beginner
34,81,8,9,67,85.41664461,Advanced
36,61,14,3,98,47.16062569,Beginner
62,78,6,4,85,57.69009533,Beginner
58,69,11,6,74,63.19568547,Professional
70,74,11,10,86,109.4125541,Beginner
66,98,7,5,79,67.21896501,Intermediate
22,59,1,0,91,85.82618309,Advanced
68,98,10,8,81,92.9190515,Beginner
64,75,12,2,77,67.97744481,Professional
